Outcome,Message,Identity,Delay,IPODescriptions IPOIdentifier,IPODescriptions Name,IPODescriptions Symbol,IPODescriptions Market,IPODescriptions MarketIdentificationCode,IPODescriptions Status,IPODescriptions FilingDate,IPODescriptions TradeDate,IPODescriptions EstimatedOfferDate,IPODescriptions OfferDate,IPODescriptions OfferLowPrice,IPODescriptions OfferHighPrice,IPODescriptions OfferSize,IPODescriptions OfferPrice,IPODescriptions OfferAmount,IPODescriptions Currency,IPODescriptions SmallMarketCap,IPODescriptions SpecialPurposeAcquisitionCompany
Success,,Request,48.2936147,23756,111,YI,"New York Stock Exchange, Inc.",XNYS,Priced,8/15/2018,9/12/2018,9/10/2018,9/11/2018,14,16,7100000,14,99400000,USD,False,False
Success,,Request,48.2936147,23756,111,YI,"New York Stock Exchange, Inc.",XNYS,Priced,8/15/2018,9/12/2018,9/10/2018,9/11/2018,14,16,7100000,14,99400000,USD,False,False
Success,,Request,48.2936147,13114,1347 Capital,TFSCU,NASDAQ,XNAS,Active,5/5/2014,,,,10,10,,,40000000,USD,True,True
Success,,Request,48.2936147,12746,1347 Property Insurance Holdings,PIH,NASDAQ,XNAS,Priced,1/10/2014,4/1/2014,3/31/2014,3/31/2014,8,8,1887500,8,15100000,USD,True,False
Success,,Request,48.2936147,12830,21st Century Oncology Holdings,ICC,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Postponed,2/11/2014,,5/19/2014,,8,10,,,99999999,USD,False,False
Success,,Request,48.2936147,12857,2U,TWOU,NASDAQ,XNAS,Priced,2/21/2014,3/28/2014,3/24/2014,3/27/2014,11,13,9175000,13,119275000,USD,False,False
Success,,Request,48.2936147,24952,360 Finance,QFIN,NASDAQ,XNAS,Priced,10/26/2018,12/14/2018,12/10/2018,12/13/2018,16.5,18.5,3100000,16.5,51150000,USD,False,False
Success,,Request,48.2936147,12596,500.com,WBAI,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,10/22/2013,11/22/2013,11/18/2013,11/21/2013,11,13,5786000,13,75218000,USD,False,False
Success,,Request,48.2936147,12529,58.com,WUBA,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,9/27/2013,10/31/2013,10/28/2013,10/30/2013,15,16,11000000,17,187000000,USD,False,False
Success,,Request,48.2936147,25152,8i Enterprises Acquisition,JFKKU,NASDAQ,XNAS,Priced,2/22/2019,3/28/2019,3/25/2019,3/27/2019,10,10,5000000,10,50000000,USD,False,True
Success,,Request,48.2936147,13919,8point3 Energy Partners LP,CAFD,NASDAQ,XNAS,Priced,3/10/2015,6/19/2015,6/15/2015,6/18/2015,19,21,20000000,21,420000000,USD,False,False
Success,,Request,48.2936147,12850,A10 Networks,ATEN,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,2/18/2014,3/21/2014,3/17/2014,3/20/2014,13,15,12500000,15,187500000,USD,False,False
Success,,Request,48.2936147,12545,Abengoa,ABGB,NASDAQ,XNAS,Active,10/4/2013,,,,,,,,,USD,,False
Success,,Request,48.2936147,12996,Abengoa Yield,ABY,NASDAQ,XNAS,Priced,4/1/2014,6/13/2014,6/9/2014,6/12/2014,25,27,24850000,29,720650000,USD,False,False
Success,,Request,48.2936147,22809,Ablynx,ABLX,NASDAQ,XNAS,Priced,10/2/2017,10/25/2017,10/23/2017,10/24/2017,17.5,17.5,11430000,17.5,200025000,USD,False,False
Success,,Request,48.2936147,23408,Abpro,ABP,NASDAQ,XNAS,Postponed,4/11/2018,,5/7/2018,,14,16,,,60000000,USD,False,False
Success,,Request,48.2936147,19897,AC Immune,ACIU,NASDAQ,XNAS,Priced,5/31/2016,9/23/2016,9/19/2016,9/22/2016,11,13,6000000,11,66000000,USD,False,False
Success,,Request,48.2936147,19602,Acacia Communications,ACIA,NASDAQ,XNAS,Priced,12/21/2015,5/13/2016,5/9/2016,5/12/2016,21,23,4500000,23,103500000,USD,False,False
Success,,Request,48.2936147,25079,Acamar Partners Acquisition,ACAMU,NASDAQ,XNAS,Priced,1/8/2019,2/22/2019,2/18/2019,2/21/2019,10,10,30000000,10,300000000,USD,False,True
Success,,Request,48.2936147,21112,Accelerated Pharma,ACCP,NASDAQ,XNAS,Active,10/11/2016,,,,4,6,,,7500000,USD,False,False
Success,,Request,48.2936147,12432,Acceleron Pharma,XLRN,NASDAQ,XNAS,Priced,8/7/2013,9/19/2013,9/16/2013,9/18/2013,13,15,5580000,15,83700000,USD,False,False
Success,,Request,48.2936147,19393,Acelity Holdings,,"New York Stock Exchange, Inc.",XNYS,Active,8/26/2015,,,,,,,,,USD,,False
Success,,Request,48.2936147,12787,Achaogen,AKAO,NASDAQ,XNAS,Priced,1/24/2014,3/12/2014,3/10/2014,3/11/2014,12,14,6000000,12,72000000,USD,False,False
Success,,Request,48.2936147,19375,Aclaris Therapeutics,ACRS,NASDAQ,XNAS,Priced,8/17/2015,10/7/2015,10/5/2015,10/6/2015,14,16,5000000,11,55000000,USD,False,False
Success,,Request,48.2936147,22755,ACM Research,ACMR,NASDAQ,XNAS,Priced,9/13/2017,11/3/2017,10/30/2017,11/2/2017,7.5,9.5,2000000,5.6,11200000,USD,False,False
Success,,Request,48.2936147,11436,Acquity Group,AQ,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,3/8/2012,4/27/2012,4/23/2012,4/26/2012,8,10,5555556,6,33333336,USD,False,False
Success,,Request,48.2936147,25234,Act II Global Acquisition,ACTTU,NASDAQ,XNAS,Active,4/5/2019,,,,10,10,,,250000000,USD,False,True
Success,,Request,48.2936147,12802,Acucela,,UNKNOWN,Unknown,Active,12/17/2013,,,,,,,,,USD,,False
Success,,Request,48.2936147,19942,Acushnet Holdings,GOLF,"New York Stock Exchange, Inc.",XNYS,Priced,6/20/2016,10/28/2016,10/24/2016,10/27/2016,21,24,19333332,17,328666644,USD,False,False
Success,,Request,48.2936147,13423,Adama Agricultural Solutions,ADAM,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Postponed,8/11/2014,,11/17/2014,,16,18,,,399500000,USD,False,False
Success,,Request,48.2936147,12898,Adamas Pharmaceuticals,ADMS,NASDAQ,XNAS,Priced,3/5/2014,4/10/2014,4/7/2014,4/9/2014,16,18,3000000,16,48000000,USD,False,False
Success,,Request,48.2936147,15000,Adaptimmune Therapeutics,ADAP,NASDAQ,XNAS,Priced,4/6/2015,5/6/2015,5/4/2015,5/5/2015,15,17,11250000,17,191250000,USD,False,False
Success,,Request,48.2936147,23495,Adaptive Insights,ADIN,"New York Stock Exchange, Inc.",XNYS,Acquired,5/17/2018,,6/11/2018,,13,15,,,114800000,USD,False,False
Success,,Request,48.2936147,11401,AdChina,ADCN,NASDAQ,XNAS,Withdrawn,2/17/2012,,,,,,,,,USD,,False
Success,,Request,48.2936147,13179,Adeptus Health,ADPT,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,5/21/2014,6/25/2014,6/23/2014,6/24/2014,19,22,4900000,22,107800000,USD,False,False
Success,,Request,48.2936147,19437,Adesto Technologies,IOTS,NASDAQ,XNAS,Priced,9/14/2015,10/27/2015,10/26/2015,10/26/2015,5,5,5000000,5,25000000,USD,False,False
Success,,Request,48.2936147,22736,Adial Pharmaceuticals,ADIL,NASDAQ,XNAS,Priced,9/7/2017,7/27/2018,7/23/2018,7/26/2018,5,5,1464000,5,7320000,USD,True,False
Success,,Request,48.2936147,22650,Adomani,ADOM,NASDAQ,XNAS,Active,12/21/2016,,,,4,5,,,18562500,USD,False,False
Success,,Request,48.2936147,23069,ADT,ADT,"New York Stock Exchange, Inc.",XNYS,Priced,12/21/2017,1/19/2018,1/15/2018,1/18/2018,17,19,105000000,14,1470000000,USD,False,False
Success,,Request,48.2936147,13925,Aduro Biotech,ADRO,NASDAQ,XNAS,Priced,3/11/2015,4/15/2015,4/13/2015,4/14/2015,17,17,7000000,17,119000000,USD,False,False
Success,,Request,48.2936147,19465,Advanced Accelerator Applications,AAAP,NASDAQ,XNAS,Priced,10/1/2015,11/11/2015,11/9/2015,11/10/2015,15,17,4688000,16,75008000,USD,False,False
Success,,Request,48.2936147,13667,Advanced Accelerator Applications,AAAP,NASDAQ,XNAS,Postponed,11/17/2014,,2/2/2015,,13,15,,,75012000,USD,False,False
Success,,Request,48.2936147,19386,Advanced Disposal Services,ADSW,"New York Stock Exchange, Inc.",XNYS,Priced,8/21/2015,10/6/2016,10/3/2016,10/5/2016,18,21,19250000,18,346500000,USD,False,False
Success,,Request,48.2936147,13000,Advanced Drainage Systems,WMS,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,4/2/2014,7/25/2014,7/21/2014,7/24/2014,17,19,14500000,16,232000000,USD,False,False
Success,,Request,48.2936147,19392,Advanced Inhalation Therapies (AIT),AITPU,NASDAQ,XNAS,Active,8/25/2015,,,,15,15,,,10125000,USD,True,False
Success,,Request,48.2936147,19817,AdvancePierre Foods Holdings,APFH,"New York Stock Exchange, Inc.",XNYS,Priced,4/11/2016,7/15/2016,7/11/2016,7/14/2016,20,23,18600000,21,390600000,USD,False,False
Success,,Request,48.2936147,22957,Advantage Insurance,AVI,"New York Stock Exchange, Inc.",XNYS,Active,11/16/2017,,,,,,,,,USD,,False
Success,,Request,48.2936147,21471,Advantage Solutions,ADV,"New York Stock Exchange, Inc.",XNYS,Active,5/4/2017,,,,,,,,,USD,,False
Success,,Request,48.2936147,18204,Aeglea BioTherapeutics,AGLE,NASDAQ,XNAS,Priced,6/16/2015,4/7/2016,4/4/2016,4/6/2016,16,18,5000000,10,50000000,USD,False,False
Success,,Request,48.2936147,12507,Aerie Pharmaceuticals,AERI,NASDAQ,XNAS,Priced,9/17/2013,10/25/2013,10/21/2013,10/24/2013,12,14,6720000,10,67200000,USD,False,False
Success,,Request,48.2936147,23064,Aerkomm,AKOM,"New York Stock Exchange, Inc.",XNYS,Active,12/21/2017,,,,,,,,,USD,,False
Success,,Request,48.2936147,12836,Aerohive Networks,HIVE,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,2/13/2014,3/28/2014,3/24/2014,3/27/2014,9,11,7500000,10,75000000,USD,False,False
Success,,Request,48.2936147,13322,Affimed Therapeutics,AFMD,NASDAQ,XNAS,Priced,6/27/2014,9/12/2014,9/8/2014,9/11/2014,11,13,8000000,7,56000000,USD,False,False
Success,,Request,48.2936147,9936,Affinia Group Holdings,AFN,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Active,6/25/2010,,,,,,,,,USD,,
Success,,Request,48.2936147,23556,AFG Holdings,AFGL,"New York Stock Exchange, Inc.",XNYS,Postponed,6/1/2018,,7/16/2018,,15,18,,,300300000,USD,False,False
Success,,Request,48.2936147,25240,AGBA Acquisition,AGBAU,NASDAQ,XNAS,Active,4/11/2019,,,,10,10,,,40000000,USD,False,True
Success,,Request,48.2936147,19878,AgEagle Aerial Systems,UAVSU,NASDAQ,XNAS,Removed,5/19/2016,,,,4.25,4.25,,,11687500,USD,True,False
Success,,Request,48.2936147,12941,Agile Therapeutics,AGRX,NASDAQ,XNAS,Priced,3/17/2014,5/23/2014,5/19/2014,5/22/2014,6,6,9166667,6,55000002,USD,False,False
Success,,Request,48.2936147,12327,Agios Pharmaceuticals,AGIO,NASDAQ,XNAS,Priced,6/10/2013,7/24/2013,7/22/2013,7/23/2013,14,16,5888888,18,105999984,USD,False,False
Success,,Request,48.2936147,21534,Aileron Therapeutics,ALRN,NASDAQ,XNAS,Priced,6/2/2017,6/29/2017,6/26/2017,6/28/2017,15,17,3750000,15,56250000,USD,False,False
Success,,Request,48.2936147,18271,Aimmune Therapeutics,AIMT,NASDAQ,XNAS,Priced,7/6/2015,8/6/2015,8/3/2015,8/5/2015,14,16,10000000,16,160000000,USD,False,False
Success,,Request,48.2936147,11759,Aina Le'a,AINA,NASDAQ,XNAS,Active,7/27/2012,,,,,,,,,USD,,False
Success,,Request,48.2936147,19983,Airgain,AIRG,NASDAQ,XNAS,Priced,7/15/2016,8/12/2016,8/8/2016,8/11/2016,9,10,1500000,8,12000000,USD,False,False
Success,,Request,48.2936147,21387,Akcea Therapeutics,AKCA,NASDAQ,XNAS,Priced,3/27/2017,7/14/2017,7/10/2017,7/13/2017,12,14,15625000,8,125000000,USD,False,False
Success,,Request,48.2936147,12840,Akebia Therapeutics,AKBA,NASDAQ,XNAS,Priced,2/14/2014,3/20/2014,3/17/2014,3/19/2014,14,17,5882353,17,100000001,USD,False,False
Success,,Request,48.2936147,18137,Alarm.com Holdings,ALRM,NASDAQ,XNAS,Priced,5/22/2015,6/26/2015,6/22/2015,6/25/2015,13,15,7000000,14,98000000,USD,False,False
Success,,Request,48.2936147,13343,Albea,ABEA,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Active,7/2/2014,,,,,,,,,USD,,False
Success,,Request,48.2936147,24898,Alberton Acquisition,ALACU,NASDAQ,XNAS,Priced,10/2/2018,10/24/2018,10/22/2018,10/23/2018,10,10,10000000,10,100000000,USD,False,True
